Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Somalia,SOM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,441250
Somalia,SOM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,440250
Somalia,SOM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,440280
Somalia,SOM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,441280
Somalia,SOM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,441280
Somalia,SOM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,441280
Somalia,SOM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,440280
Somalia,SOM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,441680
Somalia,SOM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,443770
Somalia,SOM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,443770
Somalia,SOM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,442760
Somalia,SOM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,442260
Somalia,SOM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,440710
Somalia,SOM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,440660
Somalia,SOM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,440610
Somalia,SOM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,440560
Somalia,SOM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,440500
Somalia,SOM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,440440
Somalia,SOM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,440430
Somalia,SOM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,440420
Somalia,SOM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,440420
Somalia,SOM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,440400
Somalia,SOM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,440390
Somalia,SOM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,440350
Somalia,SOM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,440300
Somalia,SOM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,440250
Somalia,SOM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,440200
Somalia,SOM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,440150
Somalia,SOM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,440100
Somalia,SOM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,440050
Somalia,SOM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,440000
Somalia,SOM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,439950
Somalia,SOM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,439900
Somalia,SOM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,439850
Somalia,SOM,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,439800
Somalia,SOM,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,439750
Somalia,SOM,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,439700
Somalia,SOM,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,439650
Somalia,SOM,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,439600
Somalia,SOM,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,439550
Somalia,SOM,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,439500
Somalia,SOM,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,439450
Somalia,SOM,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,439400
Somalia,SOM,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,439350
Somalia,SOM,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,439300
Somalia,SOM,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,439250
Somalia,SOM,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,439200
Somalia,SOM,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,439150
Somalia,SOM,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,439100
Somalia,SOM,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,439050
Somalia,SOM,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3366595466573
Somalia,SOM,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1772563522173
Somalia,SOM,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1820384480505
Somalia,SOM,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3414416424905
Somalia,SOM,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3414416424905
Somalia,SOM,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3414416424905
Somalia,SOM,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1820384480505
